英文,中文
forest,森林;丛林;（森林似的）一丛;一片
embarrassed,尴尬的;为难的;窘迫的
morning,早晨;上午;黎明;早期，初期
beautiful,美丽的，美好的;极好的
position,位置，方位;地位，职位;态度;状态
etiquette,礼仪，礼节;规矩;礼数
into,进入…中  / 输入
bother,烦恼;烦扰，打扰;使…不安，使…恼怒;使迷惑
red,红色的;（脸）涨红的;烧红的;红头发的
leave,离开;遗弃;忘了带;交托
authority,管理，管辖，权威，专家，官方
form,种类，形式，构成，外貌
scarf,围巾
favorite,特别喜欢的人或事物
always,常常;总是，老是;永远，始终;不断地
today,现在;现今;（在）今天;现代，当代
family,家庭;家族;孩子;祖先
lunch,午餐
gentleman,绅士，有教养的，先生，男士
himself,（反身代词）他自己;（用以加强语气）他亲自，他本人
who,谁;什么人;关系代词，有先行词;孰
sand,沙滩，沙子，砂纸
accessory,附件，零件，配件，装饰品
fit,安装;合身;（使）适合
character,性格，特性，任务，角色，（汉）字
study,学习，研究;课题;书房;结论
disabled,残废的，有缺陷的
turn,使转动;旋转;使改变方向;使不适
expect,期望;预料;要求;认为（某事）会发生
pair,一对，一双，一副，成对
keen,热心，热烈，敏锐的
video,磁带录像;录像磁带;录像机，电视;（指方法）录像
semester,（尤指美国的大专院校的）学期;半学年
just,正好;刚才;仅仅，只是;刚要
theme,乐]主题;主旋律;题目，话题;（学生的）作文
tomorrow,在明天，在明日
boil,煮沸，沸腾;疔，疖子;[医]疡肿，脓肿
noodle,面条;傻子， 笨蛋
beat,敲击，敲打，打败，胜过，节奏，节拍
pot,罐;一罐;（某种用途的）容器;陶盆
lifestyle,生活方式
pop,（意外/突然地）出现; 发出爆裂声;（突然地）行动
leaf,叶子;页;叶状的结构
right,立刻，马上;向右，右边;恰当地;一直/权利/纠正
excellent,优秀的;卓越的;杰出的
heat,热，热度，高温;热烈，激烈
society,社会，阶层，社团，协会
polite,有礼貌的;有教养的，文雅的;上流社会的
shop,商店;购物;工厂;办事处
chip,碎片;缺口;（作赌注用的）筹码
letter,信;证书，许可证;字母，文字
london,伦敦
start,开始;动身;开动;起点
resolution,正式决定，决心，解决，清晰
predict,预言，预测;预示，预告
date,约会;日期，日子;时代，年代
although,虽然;尽管;但是;然而
unusual,与众不同的;不常见的，不普通的，难得的
answer,答复; 解答; 答辩;适应
TRUE,真正的;真实的;正确的;忠实的
porridge,粥，麦片粥
style,方式;样式;时髦;仪表，品位
flat,平的，平坦，统一，单调，断然的
ruler,统治者;尺;直尺
whenever,究竟什么时候;不论何时/每当
yang,<汉>阳
cousin,堂兄弟，表姐妹
dumpling,汤团，饺子;水果布丁
attendant,服务人员，侍者;随从，随员;伴随物
sock,重击，痛打，短袜
tired,疲倦的;困倦的
manage,经营;使用 /办理，设法对付
traditional,传统的;口传的;惯例的;因袭的
then,然后;那么;那时;话说回来
shelf,架子，搁板;棚;
homework,功课;家庭作业
bread,面包/谋生之道
sale,出售
bus,公共汽车，巴士，客机
museum,博物馆
active,积极的，活跃的，有生气的;迅速的
cinema,电影院，电影艺术
violin,小提琴;小提琴手
risk,危险，风险，冒险
phone,电话;听筒
opposite,对面，对立面，反面的，在….对面
teacher,教师，教员，老师，先生
piece,片，块，段，碎块
wallet,钱包，皮夹子
chair,椅子;主持;使…入座;使就任要职
monkey,猴;猿;淘气鬼;小淘气
primary,最早的，最主要的，根本的
europe,欧洲;欧盟
tool,器具，工具;
end,端;<正>结果;终止;最后部分
address,地址;称呼;演说
shall,将要，将会，应该，必须
path,小路，路;路线，路程;
blue,蓝色;把…染成蓝色;使成蓝色
ticket,票，入场券，候选名单
throw,丢;抛;投掷
present,现在，目前，出席，到场，提出，赠送
underground,地下的;秘密的;先锋派的;隐蔽的
nose,鼻子;嗅觉;芳香，香气
european,欧盟的;欧洲的，欧洲人的
club,俱乐部，社团
national,国家的;国民的;国有的;民族主义的
simple,简单的;单纯的;易受骗的;天真的
information,消息;信息，数据;通知;知识
rose,玫瑰
floor,楼层;地面，地板
ago,以前;之前;过去的
eleven,11
sunny,和煦的：照到阳光的;快活的
camp,营地，露营，扎营
public,公开的;公众的，公共的
hundred,一百;许多;100 到 999 间的数目
away,消失;离开，远离;在远处
biology,生物学
airport,机场;航空站
notice,注意;预告;布告;警告
dance,跳舞;舞会;舞曲
similar,相似，类似的
cruel,残酷的，残忍的;使人痛苦的，让人受难的
modest,谦虚，谨慎，适度的
autograph,亲笔签名
press,压，按;逼迫;紧抱
ill,不好的;恶意的;有病的;不吉利的
excite,激发;刺激;使兴奋
hate,厌恶;仇恨，憎恨
chairman,（主持会议的）主席;委员长;（委员会的）委员长
international ?,国际的，全世界的，国际性的
national,国家的，全国的，民族的，国有的
bee,蜜蜂;（集工作、竞赛、娱乐为一体的）聚会
wide,宽阔，广泛的，远离，偏离的/全部，充分的
able,n能够
period,（一段）时间，时期，时代，句号，句点
through,穿过，通过，在整个期间，始终，彻底的
north,北方
pride,自豪，得意，傲慢的
center/centre,中心，圆心，正中，集中于
rock,岩石，石块，摇动
meet,遇到
pork,猪肉
bed,床
relax,放松/缓和
fourth,第四，四分之一
panda,熊猫
me,我
mend,修理 / 修补 / 改良 / 痊愈
casually,偶然 / 随便 / 临时的
pour,灌 / 倒 / 倾泻 / 流出
frustrate,使沮丧，灰心 / 失败
must,必须
goat,山羊
handbag,手提包（女用）
professional,职业的，专业的
attempt,尝试，试图，努力
boy,男孩
flu,流行性感冒
play,玩，游戏，演奏，播放
mail,邮件
against,逆/反对 / 违反 / 对…不利… / 和…比 /和…对照
jump,跳
upset,苦恼，心烦，不适的
copy,复制，抄写，副本
scary,恐怖的，吓人的
escape,逃脱，逃走，避免，躲避
tragedy,惨事，灾难，悲剧
clever,聪明，机灵，灵巧的
coin,硬币
find,找到，发现，发觉
borrow,借
toilet,厕所
same,一样
alive,活着的，在世的，存在的
disturb,弄乱，打乱，打扰
blow,吹 / 吹气 / 吹奏
name,名字
whose,谁的，那个的
sausage,香肠
future,未来的，将来的
could,可以，能
gold,金，金的，金黄色的
climb,攀登
catch,抓住，接住，感染，吸引，领会
chiken,小鸡，鸡肉
service,公共设施，公共事业，服务，保养
slow,慢的，迟钝的，不灵巧的
bottle,瓶子
fifty,50
honest,诚实的，正直的
border,边，边缘，边境，近似，邻接
adverb,副词
dislike,不喜欢的
watch,观看，监视，照看，小心
she,她
con,反对票，反对论
table,表格，桌子，台子
forget,忘记，遗忘
cute,可爱，漂亮，聪明的
china,中国
voice,声音，嗓音，发言权
educate,教育，培养，训练
song,歌，歌曲
lamb,羊羔，羔羊
prove,证明，证实，结果是，原来是
for,为了，来自，由于
story,故事，传说，小说，情况
lady,女士
june,june 6月   july 7月
some,一些，若干，大约
main,主要的
solve,解决，处理
language,语言
frog,蛙
talent,天资，才能（人才）
pencil,铅笔
great,大的，极大的，重要的，显著的
yeah,是
hotel,宾馆
normal,正常
door,门
cent,分（硬币）
tea,茶
brown,棕色的，褐色的
south,南，南方的，南部的
color,颜色
drug,药物 / 麻醉药 /毒品
rent,租，租用，出租，租借
northern,北方的，北部的
everything,每件事，一切
funny,有趣的
question,问题，疑问，审问，审讯
come,来，达到，来自，实现，发生
route,路线，路程
temperature,温度，体温，发烧，热度
day,天，白昼，一天，时代，节日
skill,技能，技巧，手艺
disappointing,令人失望 / 扫兴的
planet,行星
candle,蜡烛
bag,袋，（女）手提包，旅行袋
explain,讲解，说明
grow,生长，发育，成为，增长，发展，种植
if,如果
famous,著名的，出名的
sixth,第6，1/6
summer,夏/夏季
yes,是，是的
frustrate,使沮丧 / 灰心 / 失败
east,东
south,南
west,西
north,北
upper / up,上
lower / down ,下
Left,左
right,右
attempt,尝试，试图（努力）
possible,可能的;可接受的;合理的
few,很少;很少的;几乎没有
itself,它自己，它本身;自身，本身
turtle,海龟
fun,乐趣;娱乐活动;嬉戏，嬉闹;有趣的事
quiet,轻声的，安静的，安宁，温和的
short,短的，矮的，简短不足的
humorous,幽默，诙谐的
year,年;年纪;一年的期间;某年级的学生
truth,事实，真相，真理
prefer,宁愿，更喜欢
shoe,鞋;蹄铁
trash,垃圾，废物，残渣，拙劣的人，捣毁/破坏
lighting,照明设备，照明 / 光线
relative,亲戚 ，亲属，相对的，比较的，相关的
shower,阵雨，暴雨，沐浴，洒落
yourself,你自己
cold,冷的
from,来自，从，根据
magazine,杂志，期刊
stone,石头
window,窗户
tail,尾巴，尾部，踪迹，后部，尾随
develop,"发展;形成;生长;发达,开发"
angry,生气的;愤怒的，发怒的;
please,请 / 讨好，使高兴
outdoor,室外;户外的，露天的;喜欢户外活动的
close,亲密的;紧密的;亲近的 / 关;结束;使靠近
plant,植物，种植，工厂，栽种，安放，安置
page,页;（计算机的）页面;标记，翻书页
freeze,凝结，凝固，冻结
afarid,害怕，恐惧，犯愁的
asia,亚洲
either,（两者之中）任何一个 / 非己彼此的
out,出局;在外，在外部;完全，彻底;出版
meter,米，公尺
box,盒;箱状物;包厢;哨房 / 把…装入盒[箱，匣]中 
fill,填满，充满，吃饱的量
place,地方，场所，寓所，等级，放置，安置，安排
concentrate,全神贯注，全力以赴，集中，聚集
gum,牙龈，口香糖，树胶
department,部，局，处，科，系
fridge,电冰箱
chat,闲谈，聊天
rubbish,垃圾，废物，废话
plane,飞机，平面，水平面
point,要点，指向，观点，点，小数点，地点，尖，尖端
postcard,明信片
Wednesday,星期三
truck,卡车
joke,笑话，玩笑
spoon,勺子，汤勺
manner,方式，方法，态度，风度
graduate,毕业，获得学位，研究生
pleasure,高兴的，愉快的，乐事，荣幸
success,成功，成就;好成绩，好结果;成功的人
field,田野，领域，场地，学科
clothing,服装，衣着
fifth,第五，1/5
popcorn,爆米花;保护物品的小片
impress,印象深刻，铭记（impress sb with sth)
back,背，背部;背面，反面;后面，后部，回退，后退，倒退
strong,强壮的，强有力的，强大的，牢固的，强烈的，擅长的
college,大学，学院
white,白色的，纯洁的;无色的，透明的
knee,膝;膝盖
part,部分;零件;参加;地区，分开
chop,排骨，砍伐，劈
nobody,没有人，无人
kiss,接吻;轻拂;轻微碰撞
upon,在…之上
week,一星期，周;工作周
america,美洲;美国
license,许可证，执照;特许
habitat,（动植物的）栖息地
fool,蠢人，笨蛋，欺骗，愚弄，愚蠢的
reason,原因;理由;理性;理智
picture,图片，照片，描绘，设想，电影，印象
than,与…比较
ok,不错，很好，对吧
yourself,你自己
alien,外国（人)的，外星的，陌生的，格格不入的
give,给予，供给，赠送，发出
cloud,云，阴影，天空，一团，笼罩，模糊
send,送;派遣；派人；使进入某状态
instruction,命令，指示，教学，指导
dress,给…穿衣，服装，连衣裙
separate,分离的，分开的，不同的，划分，区分
now,现在，如今，此刻
airline,航线，航空公司
mine,我的（所有物），矿/矿山，地雷，开矿
world,世界，地球，天下，领域
ring,戒指，环，圆圈，铃声，打电话给…，包围
learn,学习
charity,慈善，施舍，慈善机构
purple,紫色（的）
school,学校，系，学业，学派
hey,嘿！（引起注意）
daily,每日，日常的，天天
suitcase,手提箱，衣箱
worldwide,全世界的，世界各地
celebrate,庆祝，欢庆，赞扬，歌颂
text,原文，正文，课文，课本
proper,正确的，适当的，正当，固有的
health,健康，卫生，保健
movie,电影，影片，电影院
spider,蜘蛛
goodbye,再见
wheel,轮，车轮，转动，旋转
sour,馊，酸臭的，尖酸刻薄的
mall,购物中心，商业区
fix,修理，固定，安装，确定，整理
poem,诗
sentence,句子，判决，宣判
percent,百分比，百分之X
Europe,欧洲
Africa,非洲
North America,北美洲
